Strain,GISAID Clade,Age,Clade,Country,Country of exposure,Admin Division,genbank_accession,gisaid_epi_isl,Host,Old Nextstrain clade,Originating Lab,Pangolin lineage,Submission Date,Region,Region of exposure,Sex,Submitting Lab,url,Collection Date,Author,Division of exposure,Location
USA/VA-DCLS-0340/2020,GH,,20C,USA,USA,Virginia,,EPI_ISL_467940,Human,A2a,Virginia DCLS,B.1,3-7 days ago,North America,North America,,Virginia DCLS,,2020-05-19,Virginia DCLS et al,,
USA/VA-DCLS-0347/2020,GH,,20A,USA,USA,Virginia,,EPI_ISL_463114,Human,A2a,Virginia DCLS,B.1.37,One week ago,North America,North America,,Virginia DCLS,,2020-05-08,Virginia DCLS et al,,
USA/VA-DCLS-0348/2020,GH,,20A,USA,USA,Virginia,,EPI_ISL_463115,Human,A2a,Virginia DCLS,B.1.37,One week ago,North America,North America,,Virginia DCLS,,2020-05-08,Virginia DCLS et al,,
USA/VA-DCLS-0349/2020,GH,,20A,USA,USA,Virginia,,EPI_ISL_463116,Human,A2a,Virginia DCLS,B.1.37,One week ago,North America,North America,,Virginia DCLS,,2020-05-08,Virginia DCLS et al,,
USA/VA-DCLS-0350/2020,GH,,20A,USA,USA,Virginia,,EPI_ISL_463117,Human,A2a,Virginia DCLS,B.1.37,One week ago,North America,North America,,Virginia DCLS,,2020-05-08,Virginia DCLS et al,,
USA/VA-DCLS-0351/2020,GH,,20A,USA,USA,Virginia,,EPI_ISL_463118,Human,A2a,Virginia DCLS,B.1.37,One week ago,North America,North America,,Virginia DCLS,,2020-05-08,Virginia DCLS et al,,
USA/VA-DCLS-0352/2020,GH,,20A,USA,USA,Virginia,,EPI_ISL_463119,Human,A2a,Virginia DCLS,B.1.37,One week ago,North America,North America,,Virginia DCLS,,2020-05-08,Virginia DCLS et al,,
USA/VA-DCLS-0353/2020,GH,,20A,USA,USA,Virginia,,EPI_ISL_463120,Human,A2a,Virginia DCLS,B.1.37,One week ago,North America,North America,,Virginia DCLS,,2020-05-08,Virginia DCLS et al,,
USA/VA-DCLS-0354/2020,GH,,20A,USA,USA,Virginia,,EPI_ISL_463121,Human,A2a,Virginia DCLS,B.1.37,One week ago,North America,North America,,Virginia DCLS,,2020-05-11,Virginia DCLS et al,,
USA/VA-DCLS-0355/2020,GH,,20A,USA,USA,Virginia,,EPI_ISL_463122,Human,A2a,Virginia DCLS,B.1.37,One week ago,North America,North America,,Virginia DCLS,,2020-05-12,Virginia DCLS et al,,
USA/VA-DCLS-0356/2020,GH,,20A,USA,USA,Virginia,,EPI_ISL_463123,Human,A2a,Virginia DCLS,B.1.37,One week ago,North America,North America,,Virginia DCLS,,2020-05-12,Virginia DCLS et al,,
USA/VA-DCLS-0364/2020,GH,,20C,USA,USA,Virginia,,EPI_ISL_463125,Human,A2a,Virginia DCLS,B.1.3,One week ago,North America,North America,,Virginia DCLS,,2020-05-12,Virginia DCLS et al,,
USA/VA-DCLS-0367/2020,GH,,20C,USA,USA,Virginia,,EPI_ISL_467941,Human,A2a,Virginia DCLS,B.1.3,3-7 days ago,North America,North America,,Virginia DCLS,,2020-05-04,Virginia DCLS et al,,
USA/VA-DCLS-0368/2020,GH,,20C,USA,USA,Virginia,,EPI_ISL_467942,Human,A2a,Virginia DCLS,B.1.3,3-7 days ago,North America,North America,,Virginia DCLS,,2020-05-05,Virginia DCLS et al,,
USA/VA-DCLS-0371/2020,GR,,20B,USA,USA,Virginia,,EPI_ISL_463127,Human,A2a,Virginia DCLS,B.1.1,One week ago,North America,North America,,Virginia DCLS,,2020-05-08,Virginia DCLS et al,,
USA/VA-DCLS-0372/2020,GR,,20B,USA,USA,Virginia,,EPI_ISL_463128,Human,A2a,Virginia DCLS,B.1.1,One week ago,North America,North America,,Virginia DCLS,,2020-05-08,Virginia DCLS et al,,
USA/VA-DCLS-0373/2020,GR,,20B,USA,USA,Virginia,,EPI_ISL_463129,Human,A2a,Virginia DCLS,B.1.1,One week ago,North America,North America,,Virginia DCLS,,2020-05-08,Virginia DCLS et al,,
USA/VA-DCLS-0374/2020,GH,,20C,USA,USA,Virginia,,EPI_ISL_463130,Human,A2a,Virginia DCLS,B.1.3,One week ago,North America,North America,,Virginia DCLS,,2020-05-12,Virginia DCLS et al,,
USA/VA-DCLS-0375/2020,GH,,20C,USA,USA,Virginia,,EPI_ISL_463131,Human,A2a,Virginia DCLS,B.1.3,One week ago,North America,North America,,Virginia DCLS,,2020-05-11,Virginia DCLS et al,,
USA/VA-DCLS-0376/2020,GH,,20C,USA,USA,Virginia,,EPI_ISL_463132,Human,A2a,Virginia DCLS,B.1.3,One week ago,North America,North America,,Virginia DCLS,,2020-05-12,Virginia DCLS et al,,
USA/VA-DCLS-0377/2020,GH,,20C,USA,USA,Virginia,,EPI_ISL_463133,Human,A2a,Virginia DCLS,B.1.3,One week ago,North America,North America,,Virginia DCLS,,2020-05-12,Virginia DCLS et al,,
USA/VA-DCLS-0378/2020,GH,,20C,USA,USA,Virginia,,EPI_ISL_463134,Human,A2a,Virginia DCLS,B.1.3,One week ago,North America,North America,,Virginia DCLS,,2020-05-13,Virginia DCLS et al,,
USA/VA-DCLS-0379/2020,GH,,20C,USA,USA,Virginia,,EPI_ISL_463135,Human,A2a,Virginia DCLS,B.1.3,One week ago,North America,North America,,Virginia DCLS,,2020-05-13,Virginia DCLS et al,,
USA/VA-DCLS-0380/2020,GH,,20C,USA,USA,Virginia,,EPI_ISL_463136,Human,A2a,Virginia DCLS,B.1.3,One week ago,North America,North America,,Virginia DCLS,,2020-05-13,Virginia DCLS et al,,
USA/VA-DCLS-0381/2020,GH,,20C,USA,USA,Virginia,,EPI_ISL_463137,Human,A2a,Virginia DCLS,B.1.3,One week ago,North America,North America,,Virginia DCLS,,2020-05-13,Virginia DCLS et al,,
USA/VA-DCLS-0385/2020,GH,,20C,USA,USA,Virginia,,EPI_ISL_467782,Human,A2a,Virginia DCLS,B.1,3-7 days ago,North America,North America,,Virginia DCLS,,2020-04-16,Virginia DCLS et al,,
USA/VA-DCLS-0387/2020,GH,,20C,USA,USA,Virginia,,EPI_ISL_467784,Human,A2a,Virginia DCLS,B.1,3-7 days ago,North America,North America,,Virginia DCLS,,2020-04-18,Virginia DCLS et al,,
USA/VA-DCLS-0397/2020,GH,,20C,USA,USA,Virginia,,EPI_ISL_467792,Human,A2a,Virginia DCLS,B.1,3-7 days ago,North America,North America,,Virginia DCLS,,2020-04-19,Virginia DCLS et al,,
USA/VA-DCLS-0401/2020,GH,,20C,USA,USA,Virginia,,EPI_ISL_467796,Human,A2a,Virginia DCLS,B.1,3-7 days ago,North America,North America,,Virginia DCLS,,2020-04-21,Virginia DCLS et al,,
USA/VA-DCLS-0406/2020,GH,,20A,USA,USA,Virginia,,EPI_ISL_467800,Human,A2a,Virginia DCLS,B.1,3-7 days ago,North America,North America,,Virginia DCLS,,2020-04-22,Virginia DCLS et al,,
USA/VA-DCLS-0408/2020,GH,,20A,USA,USA,Virginia,,EPI_ISL_467802,Human,A2a,Virginia DCLS,B.1,3-7 days ago,North America,North America,,Virginia DCLS,,2020-04-23,Virginia DCLS et al,,
USA/VA-DCLS-0410/2020,GH,,20C,USA,USA,Virginia,,EPI_ISL_467804,Human,A2a,Virginia DCLS,B.1,3-7 days ago,North America,North America,,Virginia DCLS,,2020-04-24,Virginia DCLS et al,,
USA/VI-CDC-1993/2020,GR,,20B,USA,USA,Virgin Islands,,EPI_ISL_436046,Human,A2a,US VI Department of Health,B.1.1,Older,North America,North America,Female,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",,2020-04-01,Ying Tao et al B,,
USA/VI-CDC-1999/2020,GH,,20C,USA,USA,Virgin Islands,,EPI_ISL_436045,Human,A2a,US VI Department of Health,B.1,Older,North America,North America,,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",,2020-03-21,Ying Tao et al B,,
USA/VI-CDC-3588/2020,GH,,20C,USA,USA,Virgin Islands,,EPI_ISL_452119,Human,A2a,VI-US Virgin Islands Department of Health,B.1,One month ago,North America,North America,,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",,2020-03-17,Yan Li et al B,,
USA/VI-CDC-3638/2020,S,,19B,USA,USA,Virgin Islands,,EPI_ISL_464167,Human,B,VI-US Virgin Islands Department of Health,A.3,One week ago,North America,North America,Male,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",,2020-03-19,Krista Queen et al A,,
USA/VI-CDC-3661/2020,GR,,20B,USA,USA,Virgin Islands,,EPI_ISL_452121,Human,A2a,VI-US Virgin Islands Department of Health,B.1.1,One month ago,North America,North America,,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",,2020-03-23,Jing Zhang et al A,,
USA/VI-CDC-3688/2020,O,,19B,USA,USA,Virgin Islands,,EPI_ISL_452123,Human,B1,VI-US Virgin Islands Department of Health,A.1,One month ago,North America,North America,,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",,2020-03-23,Jing Zhang et al A,,
USA/VI-CDC-3705/2020,O,,19B,USA,USA,Virgin Islands,,EPI_ISL_452122,Human,B1,VI-US Virgin Islands Department of Health,A.1,One month ago,North America,North America,,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",,2020-03-23,Jing Zhang et al A,,
USA/VI-CDC-3810/2020,G,,20A,USA,USA,Virgin Islands,,EPI_ISL_450804,Human,A2a,VI-US Virgin Islands Department of Health,B.1,Older,North America,North America,Male,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",,2020-04-03,Yan Li et al B,,
USA/VI-CDC-3884/2020,GH,,20C,USA,USA,Virgin Islands,,EPI_ISL_450805,Human,A2a,VI-US Virgin Islands Department of Health,B.1,Older,North America,North America,Female,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",,2020-04-06,Krista Queen et al A,,
USA/VI-CDC-3943/2020,GH,,20C,USA,USA,Virgin Islands,,EPI_ISL_450806,Human,A2a,VI-US Virgin Islands Department of Health,B.1,Older,North America,North America,,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",,2020-04-08,Yan Li et al B,,
USA/VI-CDC-4022/2020,GH,,20C,USA,USA,Virgin Islands,,EPI_ISL_454643,Human,A2a,VI-US Virgin Islands Department of Health,B.1,One month ago,North America,North America,,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",,2020-04-17,Jing Zhang et al A,,
USA/VI-CDC-4367/2020,GH,,20C,USA,USA,Virgin Islands,,EPI_ISL_454650,Human,A2a,VI-US Virgin Islands Department of Health,B.1,One month ago,North America,North America,,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",,2020-04-25,Ying Tao et al B,,
USA/VI-CDC-4371/2020,GH,,20C,USA,USA,Virgin Islands,,EPI_ISL_454649,Human,A2a,VI-US Virgin Islands Department of Health,B.1,One month ago,North America,North America,,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",,2020-04-26,Ying Tao et al B,,
USA/VI-CDC-4399/2020,GH,,20C,USA,USA,Virgin Islands,,EPI_ISL_454647,Human,A2a,VI-US Virgin Islands Department of Health,B.1,One month ago,North America,North America,,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",,2020-04-27,Ying Tao et al B,,
USA/VI-CDC-4400/2020,GH,,20C,USA,USA,Virgin Islands,,EPI_ISL_454648,Human,A2a,VI-US Virgin Islands Department of Health,B.1,One month ago,North America,North America,,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",,2020-04-27,Ying Tao et al B,,
USA/VI-CDC-4408/2020,GH,,20C,USA,USA,Virgin Islands,,EPI_ISL_454651,Human,A2a,VI-US Virgin Islands Department of Health,B.1,One month ago,North America,North America,,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",,2020-04-27,Ying Tao et al B,,
USA/VI-CDC-4411/2020,GH,,20C,USA,USA,Virgin Islands,,EPI_ISL_454644,Human,A2a,VI-US Virgin Islands Department of Health,B.1,One month ago,North America,North America,,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",,2020-04-27,Jing Zhang et al A,,
USA/VI-CDC-4412/2020,GH,,20C,USA,USA,Virgin Islands,,EPI_ISL_452137,Human,A2a,VI-US Virgin Islands Department of Health,B.1,One month ago,North America,North America,,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",,2020-04-28,Anna Uehara et al B,,
USA/VI-CDC-4413/2020,GH,,20C,USA,USA,Virgin Islands,,EPI_ISL_454652,Human,A2a,VI-US Virgin Islands Department of Health,B.1,One month ago,North America,North America,,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",,2020-04-27,Ying Tao et al B,,
USA/VI-CDC-4670/2020,GH,,20C,USA,USA,Virgin Islands,,EPI_ISL_452138,Human,A2a,VI-US Virgin Islands Department of Health,B.1,One month ago,North America,North America,,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",,2020-05-05,Anna Uehara et al B,,
USA/VT-CDC-0303/2020,S,,19B,USA,USA,Vermont,,EPI_ISL_447846,Human,B1,VT Dept. of Health Laboratory,A.1,Older,North America,North America,Male,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",,2020-03-05,Krista Queen et al A,,
USA/WA_5030/2020,V,58,19A,USA,USA,Washington,,EPI_ISL_419555,Human,A1a,WA State Department of Health,B,Older,North America,North America,Female,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",,2020-02-27,Ying Tao et al B,,
USA/WA-OHSU-0035/2020,GH,,20C,USA,USA,Washington,,EPI_ISL_468083,Human,A2a,OHSU Lab Services Molecular Microbiology Lab,B.1,3-7 days ago,North America,North America,Female,Oregon SARS-CoV-2 Genome Sequencing Center,,2020-04-17,Brendan L. O'Connell et al,,Clark County
USA/WA-S10/2020,S,,19B,USA,USA,Washington,,EPI_ISL_416465,Human,B1,Seattle Flu Study,A.1,Older,North America,North America,,Seattle Flu Study,,2020-02-29,Chu et al et al B (https://doi.dx.org/10.1101/2020.04.02.20051417),,King County
USA/WA-S100/2020,S,,19B,USA,USA,Washington,,EPI_ISL_417153,Human,B1,Washington State Department of Health,A.1,Older,North America,North America,,Seattle Flu Study,,2020-02-29,Chu etl al et al (https://doi.dx.org/10.1101/2020.04.02.20051417),,King County
USA/WA-S101/2020,S,,19B,USA,USA,Washington,,EPI_ISL_417154,Human,B1,Washington State Department of Health,A.1,Older,North America,North America,,Seattle Flu Study,,2020-02-28,Chu etl al et al (https://doi.dx.org/10.1101/2020.04.02.20051417),,King County
USA/WA-S1019/2020,S,,19B,USA,USA,Washington,,EPI_ISL_463509,Human,B1,Washington State Department of Health,A.1,One week ago,North America,North America,,Seattle Flu Study,,2020-04-30,Chu et al et al A,,Yakima County
USA/WA-S1023/2020,S,,19B,USA,USA,Washington,,EPI_ISL_463513,Human,B1,Washington State Department of Health,A.1,One week ago,North America,North America,,Seattle Flu Study,,2020-05-01,Chu et al et al A,,Yakima County
USA/WA-S1025/2020,G,,20A,USA,USA,Washington,,EPI_ISL_463515,Human,A2a,Washington State Department of Health,B.1,One week ago,North America,North America,,Seattle Flu Study,,2020-05-01,Chu et al et al A,,Yakima County
USA/WA-S1028/2020,S,,19B,USA,USA,Washington,,EPI_ISL_463518,Human,B1,Washington State Department of Health,A.1,One week ago,North America,North America,,Seattle Flu Study,,2020-05-02,Chu et al et al A,,Yakima County
USA/WA-S103/2020,S,,19B,USA,USA,Washington,,EPI_ISL_417156,Human,B1,Washington State Department of Health,A.1,Older,North America,North America,,Seattle Flu Study,,2020-02-28,Chu etl al et al (https://doi.dx.org/10.1101/2020.04.02.20051417),,King County
USA/WA-S1030/2020,S,,19B,USA,USA,Washington,,EPI_ISL_463520,Human,B1,Washington State Department of Health,A.1,One week ago,North America,North America,,Seattle Flu Study,,2020-05-01,Chu et al et al A,,Yakima County
USA/WA-S1031/2020,GR,,20B,USA,USA,Washington,,EPI_ISL_463521,Human,A2a,Washington State Department of Health,B.1.1,One week ago,North America,North America,,Seattle Flu Study,,2020-05-01,Chu et al et al A,,Yakima County
USA/WA-S1033/2020,S,,19B,USA,USA,Washington,,EPI_ISL_463523,Human,B1,Washington State Department of Health,A.1,One week ago,North America,North America,,Seattle Flu Study,,2020-05-01,Chu et al et al A,,Yakima County
USA/WA-S1041/2020,GR,,20B,USA,USA,Washington,,EPI_ISL_463531,Human,A2a,Washington State Department of Health,B.1.1,One week ago,North America,North America,,Seattle Flu Study,,2020-05-03,Chu et al et al A,,Yakima County
USA/WA-S1046/2020,GH,,20C,USA,USA,Washington,,EPI_ISL_463536,Human,A2a,Washington State Department of Health,B.1,One week ago,North America,North America,,Seattle Flu Study,,2020-05-03,Chu et al et al A,,Pierce County
USA/WA-S105/2020,S,,19B,USA,USA,Washington,,EPI_ISL_417158,Human,B1,Washington State Department of Health,A.1,Older,North America,North America,,Seattle Flu Study,,2020-02-28,Chu etl al et al (https://doi.dx.org/10.1101/2020.04.02.20051417),,King County
USA/WA-S106/2020,S,,19B,USA,USA,Washington,,EPI_ISL_417159,Human,B1,Washington State Department of Health,A.1,Older,North America,North America,,Seattle Flu Study,,2020-02-29,Chu etl al et al (https://doi.dx.org/10.1101/2020.04.02.20051417),,King County
USA/WA-S1064/2020,GR,,20B,USA,USA,Washington,,EPI_ISL_463554,Human,A2a,Washington State Department of Health,B.1.1,One week ago,North America,North America,,Seattle Flu Study,,2020-04-30,Chu et al et al A,,Yakima County
USA/WA-S1067/2020,GR,,20B,USA,USA,Washington,,EPI_ISL_463557,Human,A2a,Washington State Department of Health,B.1.1,One week ago,North America,North America,,Seattle Flu Study,,2020-04-29,Chu et al et al A,,Yakima County
USA/WA-S107/2020,S,,19B,USA,USA,Washington,,EPI_ISL_417160,Human,B1,Washington State Department of Health,A.1,Older,North America,North America,,Seattle Flu Study,,2020-02-29,Chu etl al et al (https://doi.dx.org/10.1101/2020.04.02.20051417),,King County
USA/WA-S108/2020,S,,19B,USA,USA,Washington,,EPI_ISL_417161,Human,B1,Washington State Department of Health,A.1,Older,North America,North America,,Seattle Flu Study,,2020-02-29,Chu etl al et al (https://doi.dx.org/10.1101/2020.04.02.20051417),,King County
USA/WA-S1097/2020,GH,,20A,USA,USA,Washington,,EPI_ISL_463587,Human,A2a,Washington State Department of Health,B.1,One week ago,North America,North America,,Seattle Flu Study,,2020-05-01,Chu et al et al A,,Yakima County
USA/WA-S1110/2020,GH,,20C,USA,USA,Washington,,EPI_ISL_463600,Human,A2a,Washington State Department of Health,B.1,One week ago,North America,North America,,Seattle Flu Study,,2020-05-04,Chu et al et al A,,Pierce County
USA/WA-S1122/2020,GH,,20C,USA,USA,Washington,,EPI_ISL_463612,Human,A2a,Washington State Department of Health,B.1,One week ago,North America,North America,,Seattle Flu Study,,2020-05-04,Chu et al et al A,,Pierce County
USA/WA-S1123/2020,GH,,20C,USA,USA,Washington,,EPI_ISL_463613,Human,A2a,Washington State Department of Health,B.1,One week ago,North America,North America,,Seattle Flu Study,,2020-05-04,Chu et al et al A,,Pierce County
USA/WA-S113/2020,S,,19B,USA,USA,Washington,,EPI_ISL_417166,Human,B1,Washington State Department of Health,A.1,Older,North America,North America,,Seattle Flu Study,,2020-02-29,Chu etl al et al (https://doi.dx.org/10.1101/2020.04.02.20051417),,King County
USA/WA-S1132/2020,GH,,20C,USA,USA,Washington,,EPI_ISL_463622,Human,A2a,Washington State Department of Health,B.1,One week ago,North America,North America,,Seattle Flu Study,,2020-05-04,Chu et al et al A,,Pierce County
USA/WA-S1137/2020,GH,,20C,USA,USA,Washington,,EPI_ISL_463627,Human,A2a,Washington State Department of Health,B.1,One week ago,North America,North America,,Seattle Flu Study,,2020-05-04,Chu et al et al A,,Pierce County
USA/WA-S1142/2020,GH,,20A,USA,USA,Washington,,EPI_ISL_463632,Human,A2a,Washington State Department of Health,B.1,One week ago,North America,North America,,Seattle Flu Study,,2020-05-05,Chu et al et al A,,Yakima County
USA/WA-S1144/2020,GH,,20A,USA,USA,Washington,,EPI_ISL_463634,Human,A2a,Washington State Department of Health,B.1,One week ago,North America,North America,,Seattle Flu Study,,2020-05-04,Chu et al et al A,,Yakima County
USA/WA-S1148/2020,GH,,20A,USA,USA,Washington,,EPI_ISL_463638,Human,A2a,Washington State Department of Health,B.1,One week ago,North America,North America,,Seattle Flu Study,,2020-05-05,Chu et al et al A,,Snohomish County
USA/WA-S115/2020,S,,19B,USA,USA,Washington,,EPI_ISL_417168,Human,B1,Washington State Department of Health,A.1,Older,North America,North America,,Seattle Flu Study,,2020-02-29,Chu etl al et al (https://doi.dx.org/10.1101/2020.04.02.20051417),,King County
USA/WA-S1153/2020,GH,,20A,USA,USA,Washington,,EPI_ISL_463643,Human,A2a,Washington State Department of Health,B.1,One week ago,North America,North America,,Seattle Flu Study,,2020-05-05,Chu et al et al A,,Snohomish County
USA/WA-S1154/2020,S,,19B,USA,USA,Washington,,EPI_ISL_463644,Human,B1,Washington State Department of Health,A.1,One week ago,North America,North America,,Seattle Flu Study,,2020-05-04,Chu et al et al A,,Yakima County
USA/WA-S1156/2020,GR,,20B,USA,USA,Washington,,EPI_ISL_463646,Human,A2a,Washington State Department of Health,B.1.1,One week ago,North America,North America,,Seattle Flu Study,,2020-05-04,Chu et al et al A,,Yakima County
USA/WA-S1157/2020,GR,,20B,USA,USA,Washington,,EPI_ISL_463647,Human,A2a,Washington State Department of Health,B.1.1,One week ago,North America,North America,,Seattle Flu Study,,2020-05-04,Chu et al et al A,,Yakima County
USA/WA-S1159/2020,GR,,20B,USA,USA,Washington,,EPI_ISL_463649,Human,A2a,Washington State Department of Health,B.1.1,One week ago,North America,North America,,Seattle Flu Study,,2020-05-04,Chu et al et al A,,Yakima County
USA/WA-S1161/2020,S,,19B,USA,USA,Washington,,EPI_ISL_463651,Human,B1,Washington State Department of Health,A.1,One week ago,North America,North America,,Seattle Flu Study,,2020-05-06,Chu et al et al A,,Yakima County
USA/WA-S1162/2020,GH,,20C,USA,USA,Washington,,EPI_ISL_463652,Human,A2a,Washington State Department of Health,B.1,One week ago,North America,North America,,Seattle Flu Study,,2020-05-05,Chu et al et al A,,King County
USA/WA-S1163/2020,O,,20B,USA,USA,Washington,,EPI_ISL_463653,Human,A2a,Washington State Department of Health,B.1.1,One week ago,North America,North America,,Seattle Flu Study,,2020-05-06,Chu et al et al A,,Yakima County
USA/WA-S1167/2020,S,,19B,USA,USA,Washington,,EPI_ISL_463657,Human,B1,Washington State Department of Health,A.1,One week ago,North America,North America,,Seattle Flu Study,,2020-05-05,Chu et al et al A,,Yakima County
USA/WA-S1173/2020,GH,,20C,USA,USA,Washington,,EPI_ISL_463663,Human,A2a,Washington State Department of Health,B.1,One week ago,North America,North America,,Seattle Flu Study,,2020-05-04,Chu et al et al A,,Skagit County
USA/WA-S1178/2020,GH,,20C,USA,USA,Washington,,EPI_ISL_463668,Human,A2a,Washington State Department of Health,B.1,One week ago,North America,North America,,Seattle Flu Study,,2020-05-06,Chu et al et al A,,Snohomish County
USA/WA-S1179/2020,O,,20B,USA,USA,California,,EPI_ISL_463669,Human,A2a,Washington State Department of Health,B.1.1,One week ago,North America,North America,,Seattle Flu Study,,2020-05-06,Chu et al et al A,,Monterey County CA
USA/WA-S1181/2020,S,,19B,USA,USA,Washington,,EPI_ISL_463671,Human,B1,Washington State Department of Health,A.1,One week ago,North America,North America,,Seattle Flu Study,,2020-05-06,Chu et al et al A,,Yakima County
USA/WA-S1183/2020,GH,,20C,USA,USA,Washington,,EPI_ISL_463673,Human,A2a,Washington State Department of Health,B.1,One week ago,North America,North America,,Seattle Flu Study,,2020-05-05,Chu et al et al A,,Snohomish County
USA/WA-S1186/2020,S,,19B,USA,USA,Washington,,EPI_ISL_463676,Human,B1,Washington State Department of Health,A.1,One week ago,North America,North America,,Seattle Flu Study,,2020-05-06,Chu et al et al A,,Yakima County
USA/WA-S1187/2020,S,,19B,USA,USA,Washington,,EPI_ISL_463677,Human,B1,Washington State Department of Health,A.1,One week ago,North America,North America,,Seattle Flu Study,,2020-05-06,Chu et al et al A,,Yakima County
USA/WA-S119/2020,S,,19B,USA,USA,Washington,,EPI_ISL_417172,Human,B1,Washington State Department of Health,A.1,Older,North America,North America,,Seattle Flu Study,,2020-02-29,Chu etl al et al (https://doi.dx.org/10.1101/2020.04.02.20051417),,King County
USA/WA-S1199/2020,GH,,20A,USA,USA,Washington,,EPI_ISL_463689,Human,A2a,Washington State Department of Health,B.1,One week ago,North America,North America,,Seattle Flu Study,,2020-05-06,Chu et al et al A,,Yakima County
USA/WA-S1201/2020,GR,,20B,USA,USA,Washington,,EPI_ISL_463691,Human,A2a,Washington State Department of Health,B.1.1,One week ago,North America,North America,,Seattle Flu Study,,2020-05-07,Chu et al et al A,,Yakima County
USA/WA-S1205/2020,GR,,20B,USA,USA,Washington,,EPI_ISL_463695,Human,A2a,Washington State Department of Health,B.1.1,One week ago,North America,North America,,Seattle Flu Study,,2020-05-06,Chu et al et al A,,Yakima County
USA/WA-S123/2020,S,,19B,USA,USA,Washington,,EPI_ISL_430160,Human,B1,Washington State Department of Health,A.1,Older,North America,North America,,Seattle Flu Study,,2020-02-29,Chu et al et al A,,
USA/WA-S126/2020,S,,19B,USA,USA,Washington,,EPI_ISL_430163,Human,B1,Washington State Department of Health,A.1,Older,North America,North America,,Seattle Flu Study,,2020-03-13,Chu et al et al A,,King County
USA/WA-S130/2020,S,,19B,USA,USA,Washington,,EPI_ISL_430167,Human,B1,Washington State Department of Health,A.1,Older,North America,North America,,Seattle Flu Study,,2020-03-13,Chu et al et al A,,King County
USA/WA-S149/2020,V,,19A,USA,USA,Washington,,EPI_ISL_430186,Human,A1a,Washington State Department of Health,B.2.2,Older,North America,North America,,Seattle Flu Study,,2020-03-14,Chu et al et al A,,King County
USA/WA-S158/2020,S,,19B,USA,USA,Washington,,EPI_ISL_430196,Human,B1,Washington State Department of Health,A.1,Older,North America,North America,,Seattle Flu Study,,2020-03-16,Chu et al et al A,,Snohomish County
USA/WA-S16/2020,S,,19B,USA,USA,Washington,,EPI_ISL_417069,Human,B1,Washington State Department of Health,A.1,Older,North America,North America,,Seattle Flu Study,,2020-03-03,Chu etl al et al (https://doi.dx.org/10.1101/2020.04.02.20051417),,
USA/WA-S174/2020,S,,19B,USA,USA,Washington,,EPI_ISL_430212,Human,B1,Washington State Department of Health,A.1,Older,North America,North America,,Seattle Flu Study,,2020-03-19,Chu et al et al A,,King County
USA/WA-S2/2020,S,,19B,USA,USA,Washington,,EPI_ISL_413456,Human,B1,Seattle Flu Study,A.1,Older,North America,North America,,Seattle Flu Study,,2020-02-20,Chu et al et al B (https://doi.dx.org/10.1101/2020.04.02.20051417),,King County
USA/WA-S220/2020,GH,,20C,USA,USA,Washington,,EPI_ISL_430258,Human,A2a,Washington State Department of Health,B.1.43,Older,North America,North America,,Seattle Flu Study,,2020-03-20,Chu et al et al A,,Whatcom County
